City_ID,City,Latitude,Longitude,Max_Temp,Humidity,Cloudy,Wind_Speed,Country,Date
81,Vaitape,-16.5167,-151.75,81.5,73,80,15.03,PF,1619057273
82,Ngama,11.7833,17.1667,82.56,44,90,5.88,TD,1619057273
83,Eganville,45.5334,-77.0994,32.0,40,90,10.36,CA,1619057274
84,Norman Wells,65.282,-126.8329,33.8,37,75,24.16,CA,1619057274
85,Pisco,-13.7,-76.2167,66.2,88,14,14.97,PE,1619057274
86,Aykhal,66.0,111.5,19.51,86,99,12.57,RU,1619057275
87,Wiarton,44.7407,-81.1332,30.2,64,20,6.91,CA,1619057275
88,Faanui,-16.4833,-151.75,81.57,72,81,15.08,PF,1619057276
89,Belaya Gora,68.5333,146.4167,19.11,88,100,14.85,RU,1619057276
90,Clyde River,70.4692,-68.5914,12.2,92,40,3.44,CA,1619057277
91,Téra,14.0078,0.7531,89.08,10,66,7.56,NE,1619057277
92,Kjøpsvik,68.097,16.3742,32.0,80,20,8.05,NO,1619057277
93,Mahébourg,-20.4081,57.7,77.0,94,40,4.61,MU,1619057278
94,Whitehorse,60.7161,-135.0538,41.0,28,1,5.75,CA,1619057278
95,Ibanda,-2.7974,32.4746,62.29,95,100,4.25,TZ,1619057279
96,Khatanga,71.9667,102.5,21.07,93,100,17.6,RU,1619057279
97,Homer,59.6425,-151.5483,54.0,50,1,3.44,US,1619057279
98,Hofn,64.2539,-15.2082,40.69,56,100,4.56,IS,1619057280
99,Hithadhoo,-0.6,73.0833,82.44,68,59,6.15,MV,1619057281
100,Banjarmasin,-3.3244,114.591,84.2,74,83,3.44,ID,1619057281
101,Kalush,49.0119,24.3731,47.05,76,100,7.43,UA,1619057281
102,Røros,62.5747,11.3842,26.6,74,76,11.5,NO,1619057282
103,Buchanan,5.8808,-10.0467,79.21,87,97,4.63,LR,1619057282
104,Mataura,-46.1927,168.8643,55.99,83,87,1.01,NZ,1619057283
105,Vardø,70.3705,31.1107,36.32,91,100,23.91,NO,1619057283
